"licenseId","name","reference","active"
"FSFULLRWD","FSF Unlimited License (With License Retention and Warranty Disclaimer)","https://spdx.org/licenses/FSFULLRWD.html","true"
"FTL","Freetype Project License","https://spdx.org/licenses/FTL.html","true"
"GD","GD License","https://spdx.org/licenses/GD.html","true"
"GFDL-1.1","GNU Free Documentation License v1.1","https://spdx.org/licenses/GFDL-1.1.html","false"
"GFDL-1.1-invariants-only","GNU Free Documentation License v1.1 only - invariants","https://spdx.org/licenses/GFDL-1.1-invariants-only.html","true"
"GFDL-1.1-invariants-or-later","GNU Free Documentation License v1.1 or later - invariants","https://spdx.org/licenses/GFDL-1.1-invariants-or-later.html","true"
"GFDL-1.1-no-invariants-only","GNU Free Documentation License v1.1 only - no invariants","https://spdx.org/licenses/GFDL-1.1-no-invariants-only.html","true"
"GFDL-1.1-no-invariants-or-later","GNU Free Documentation License v1.1 or later - no invariants","https://spdx.org/licenses/GFDL-1.1-no-invariants-or-later.html","true"
"GFDL-1.1-only","GNU Free Documentation License v1.1 only","https://spdx.org/licenses/GFDL-1.1-only.html","true"
"GFDL-1.1-or-later","GNU Free Documentation License v1.1 or later","https://spdx.org/licenses/GFDL-1.1-or-later.html","true"
"GFDL-1.2","GNU Free Documentation License v1.2","https://spdx.org/licenses/GFDL-1.2.html","false"
"GFDL-1.2-invariants-only","GNU Free Documentation License v1.2 only - invariants","https://spdx.org/licenses/GFDL-1.2-invariants-only.html","true"
"GFDL-1.2-invariants-or-later","GNU Free Documentation License v1.2 or later - invariants","https://spdx.org/licenses/GFDL-1.2-invariants-or-later.html","true"
"GFDL-1.2-no-invariants-only","GNU Free Documentation License v1.2 only - no invariants","https://spdx.org/licenses/GFDL-1.2-no-invariants-only.html","true"
"GFDL-1.2-no-invariants-or-later","GNU Free Documentation License v1.2 or later - no invariants","https://spdx.org/licenses/GFDL-1.2-no-invariants-or-later.html","true"
"GFDL-1.2-only","GNU Free Documentation License v1.2 only","https://spdx.org/licenses/GFDL-1.2-only.html","true"
"GFDL-1.2-or-later","GNU Free Documentation License v1.2 or later","https://spdx.org/licenses/GFDL-1.2-or-later.html","true"
"GFDL-1.3","GNU Free Documentation License v1.3","https://spdx.org/licenses/GFDL-1.3.html","false"
"GFDL-1.3-invariants-only","GNU Free Documentation License v1.3 only - invariants","https://spdx.org/licenses/GFDL-1.3-invariants-only.html","true"
"GFDL-1.3-invariants-or-later","GNU Free Documentation License v1.3 or later - invariants","https://spdx.org/licenses/GFDL-1.3-invariants-or-later.html","true"
"GFDL-1.3-no-invariants-only","GNU Free Documentation License v1.3 only - no invariants","https://spdx.org/licenses/GFDL-1.3-no-invariants-only.html","true"
"GFDL-1.3-no-invariants-or-later","GNU Free Documentation License v1.3 or later - no invariants","https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.html","true"
"GFDL-1.3-only","GNU Free Documentation License v1.3 only","https://spdx.org/licenses/GFDL-1.3-only.html","true"
"GFDL-1.3-or-later","GNU Free Documentation License v1.3 or later","https://spdx.org/licenses/GFDL-1.3-or-later.html","true"
"Giftware","Giftware License","https://spdx.org/licenses/Giftware.html","true"
"GL2PS","GL2PS License","https://spdx.org/licenses/GL2PS.html","true"
"Glide","3dfx Glide License","https://spdx.org/licenses/Glide.html","true"
"Glulxe","Glulxe License","https://spdx.org/licenses/Glulxe.html","true"
"GLWTPL","Good Luck With That Public License","https://spdx.org/licenses/GLWTPL.html","true"
"GNU-compiler-exception","GNU Compiler Exception","https://spdx.org/licenses/GNU-compiler-exception.html","true"
"gnuplot","gnuplot License","https://spdx.org/licenses/gnuplot.html","true"
"GPL-1.0","GNU General Public License v1.0 only","https://spdx.org/licenses/GPL-1.0.html","false"
"GPL-1.0+","GNU General Public License v1.0 or later","https://spdx.org/licenses/GPL-1.0+.html","false"
